MST1R PRKCD
MST1R IRAK1
MST1R MAPK8
MST1R MAPK10
MST1R TRIM28
MST1R FYN
MST1R EPHA7
YES1 FGR
YES1 SRC
YES1 PRKCD
YES1 PDGFRB
YES1 ABL1
YES1 MAPK1
YES1 MAPK6
YES1 GSK3B
YES1 PRKCE
YES1 EPHB2
YES1 TGFBR1
YES1 NTRK1
YES1 RPS6KA3
YES1 STK11
YES1 MAP3K11
YES1 MAPK14
YES1 MAP2K3
YES1 TRIM28
YES1 RPS6KB1
YES1 BUB1B
YES1 SGK1
YES1 CAMKK1
YES1 CHEK1
YES1 AKT1
YES1 PLK1
YES1 CDK6
YES1 IGF1R
YES1 LATS2
YES1 EGFR
YES1 FGFR1
YES1 CLK2
YES1 KALRN
YES1 MET
YES1 EPHA2
YES1 ROCK1
YES1 CDK5
YES1 KSR1
YES1 PDK1
YES1 CAMK2A
YES1 CSNK2A1
YES1 MAP3K1
YES1 PIK3CD
YES1 EPHA3
YES1 BMX
YES1 PGK1
YES1 CSNK1D
YES1 ALK
YES1 MTOR
YES1 STK38
YES1 AURKA
YES1 LRRK2
YES1 RIOK1
YES1 HK1
YES1 PRKACG
YES1 FGFR4
YES1 PFKM
YES1 EPHA5
YES1 ACVR2B
YES1 EPHA6
YES1 AXL
YES1 VRK2
TYRO3 MAP2K1
TYRO3 LATS1
TYRO3 PDK2
TYRO3 STK4
TYRO3 CDK5
TYRO3 AKT3
FGR SRC
FGR LYN
FGR SYK
FGR PIK3CA
FGR ABL1
FGR MAP2K2
FGR MAPK1
FGR PDPK1
FGR TGFBR1
FGR CHUK
FGR KDR
FGR NTRK1
FGR IKBKB
FGR MAPK14
FGR MAPK8
FGR MAP3K2
FGR MAPK12
FGR TRIM28
FGR PAK1
FGR RIPK1
FGR AKT1
FGR RAF1
FGR CLK2
FGR ERBB4
FGR LCK
FGR CDC7
FGR KSR1
FGR CDK2
FGR BRD4
FGR BLK
FGR PRKAA2
FGR STK38
FGR AURKA
FGR RIPK3
FGR LRRK2
FGR CDK16
FGR FGFR4
FGR AXL
FGR TRIB1
FGR MUSK
FGR NEK9
SRC ATR
SRC LYN
SRC PRKCD
SRC PIK3CA
SRC PDGFRA
SRC EIF2AK2
SRC MAP2K1
SRC ABL1
SRC ZAP70
SRC MAP2K2
SRC MAPK1
SRC PRKCB
SRC GSK3B
SRC PDPK1
SRC PRKCG
SRC IRAK1
SRC MAP2K5
SRC PKM
SRC MARK2
SRC BTK
SRC PRKCQ
SRC TTN
SRC TXK
SRC EPHB2
SRC PRKACA
SRC GUCY2C
SRC TGFBR1
SRC BMPR1B
SRC TGFBR2
SRC CHUK
SRC NTRK1
SRC MAPK3
SRC RPS6KA3
SRC STK11
SRC PRKCI
SRC MAP3K11
SRC MAP2K7
SRC IKBKB
SRC MAP2K6
SRC MAPK14
SRC MAP2K3
SRC STK39
SRC RYK
SRC PLK4
SRC PRKDC
SRC ATM
SRC CAMK2G
SRC MAP3K7
SRC MAPK12
SRC MAPK13
SRC CDC42BPA
SRC LATS1
SRC TRIM24
SRC LIMK2
SRC RPS6KB1
SRC MAP3K4
SRC MAP3K3
SRC SGK1
SRC PAK1
SRC MAPK11
SRC AKT1
SRC PLK1
SRC AURKB
SRC CDK4
SRC CSNK1A1
SRC IGF1R
SRC TSSK4
SRC RAF1
SRC STK4
SRC FLT4
SRC CLK2
SRC FYN
SRC EPHA2
SRC KIT
SRC HCK
SRC JAK2
SRC JAK1
SRC LCK
SRC PAK4
SRC PIP5K1B
SRC PIP4K2C
SRC CDC7
SRC CDK5
SRC ERBB3
SRC WNK4
SRC CSK
SRC KSR1
SRC PIK3C2A
SRC ERBB2
SRC PDK1
SRC CAMK2A
SRC GSK3A
SRC PRKAA1
SRC TTBK2
SRC CDK2
SRC PIK3CD
SRC TAOK3
SRC AATK
SRC BMX
SRC BRAF
SRC CSNK1E
SRC CDK7
SRC EPHB1
SRC ALK
SRC CDC42BPB
SRC CAMKK2
SRC SRPK2
SRC RIOK3
SRC SIK2
SRC CDK1
SRC DYRK2
SRC CDK13
SRC CDK20
SRC PRKACB
SRC LRRK2
SRC PFKP
SRC CDK16
SRC RIOK2
SRC PIK3C3
SRC CDK12
SRC AKT3
SRC MAP4K2
SRC EPHA5
SRC PAK5
SRC PRKX
SRC ACVR2B
SRC EPHB6
SRC EPHA6
SRC EIF2AK1
SRC IP6K3
SRC MINK1
SRC MAP3K21
SRC PDIK1L
SRC TNIK
SRC IP6K2
SRC STK38L
SRC CDK11B
SRC PLK3
SRC MASTL
SRC ADK
